invoice#,date,country,product_id,shop,gender,size_us,size_europe,size_uk,unit_price,discount,year,month,sale_price
52389,01-01-2014,United Kingdom,2152,UK2,Male,11,44,10.5,159.00,0%,2014,1,159.00
52390,01-01-2014,United States,2230,US15,Male,11.5,44-45,11,199.00,20%,2014,1,159.20
52391,01-01-2014,Canada,2160,CAN7,Male,9.5,42-43,9,149.00,20%,2014,1,119.20
52392,01-01-2014,United States,2234,US6,Female,9.5,40,7.5,159.00,0%,2014,1,159.00
52393,01-01-2014,United Kingdom,2222,UK4,Female,9,39-40,7,159.00,0%,2014,1,159.00
52394,01-01-2014,United States,2173,US15,Male,10.5,43-44,10,159.00,0%,2014,1,159.00
52395,02-01-2014,Germany,2200,GER2,Female,9,39-40,7,179.00,0%,2014,1,179.00
52396,02-01-2014,Canada,2238,CAN5,Male,10,43,9.5,169.00,0%,2014,1,169.00
52397,02-01-2014,United States,2191,US13,Male,10.5,43-44,10,139.00,0%,2014,1,139.00
52398,02-01-2014,United Kingdom,2237,UK1,Female,9,39-40,7,149.00,0%,2014,1,149.00
52399,02-01-2014,United States,2197,US1,Male,10,43,9.5,129.00,0%,2014,1,129.00
52399,02-01-2014,United States,2213,US11,Female,9.5,40,7.5,169.00,10%,2014,1,152.10
52399,02-01-2014,United States,2206,US2,Female,9.5,40,7.5,139.00,0%,2014,1,139.00
52400,02-01-2014,United States,2152,US15,Male,8,41,7.5,139.00,0%,2014,1,139.00
52401,03-01-2014,Germany,2235,GER1,Male,10.5,43-44,10,169.00,50%,2014,1,84.50
52401,03-01-2014,Germany,2197,GER1,Female,8.5,39,6.5,179.00,20%,2014,1,143.20
52402,03-01-2014,Canada,2240,CAN6,Male,9.5,42-43,9,199.00,30%,2014,1,139.30
52403,03-01-2014,United States,2221,US7,Male,11,44,10.5,149.00,50%,2014,1,74.50
52404,03-01-2014,United States,2234,US6,Female,9.5,40,7.5,159.00,0%,2014,1,159.00
52404,03-01-2014,United States,2197,US1,Male,10,43,9.5,129.00,0%,2014,1,129.00
52404,03-01-2014,United States,2213,US11,Female,9.5,40,7.5,169.00,10%,2014,1,152.10
52405,03-01-2014,United States,2213,US7,Female,8,38-39,6,139.00,0%,2014,1,139.00
52406,03-01-2014,United States,2147,US15,Male,9.5,42-43,9,139.00,0%,2014,1,139.00
52407,04-01-2014,United States,2224,US13,Male,9,42,8.5,149.00,10%,2014,1,134.10
52408,04-01-2014,Germany,2206,GER2,Male,8.5,41-42,8,149.00,20%,2014,1,119.20
52409,04-01-2014,Germany,2157,GER2,Male,12,45,11.5,149.00,20%,2014,1,119.20
52410,04-01-2014,Canada,2169,CAN3,Female,8,38-39,6,129.00,0%,2014,1,129.00
52411,04-01-2014,United States,2191,US13,Male,10.5,43-44,10,139.00,0%,2014,1,139.00
52411,04-01-2014,United States,2234,US6,Female,9.5,40,7.5,159.00,0%,2014,1,159.00
52411,04-01-2014,United States,2197,US1,Male,10,43,9.5,129.00,0%,2014,1,129.00
52412,04-01-2014,United States,2173,US15,Male,10.5,43-44,10,159.00,0%,2014,1,159.00
52413,05-01-2014,United Kingdom,2156,UK5,Female,8,38-39,6,169.00,10%,2014,1,152.10
52414,05-01-2014,Germany,2235,GER1,Male,9.5,42-43,9,169.00,30%,2014,1,118.30
52414,05-01-2014,Germany,2239,GER2,Female,8.5,39,6.5,129.00,50%,2014,1,64.50
